Donaldson;1400 W. 94 St.;Bloomington;MN;55431;952-887-3131;http://www.donaldson.com;donaldsonfoundation@mail.donaldson.com;William M. Cook;bcook@mail.donaldson.com
Hayes Lemmerz;15300 Centennial Dr.;Northville;MI;48168;734-737-5000;http://www.hayes-lemmerz.com;naaw@hayes-lemmerz.com;Curtis J. Clawson;kclawson@hayes-lemmerz.com
Vectren;1 Vectren Sq.;Evansville;IN;47708;812-491-4000;http://www.vectren.com;None;Niel C. Ellerbrook;None
Nortek;50 Kennedy Plz.;Providence;RI;2903;401-751-1600;http://www.nortek-inc.com;general@nortek-inc.com;Richard L. Bready;bready@nortek-inc.com
Liberty Global;12300 Liberty Blvd.;Englewood;CO;80112;303-220-6600;http://www.lgi.com;info@lgi.com;Michael T. Fries;None
Reliant Energy;1000 Main St.;Houston;TX;77002;713-497-3000;http://www.reliant.com;service@reliant.com;Mark M. Jacobs;None
Forest Laboratories;909 Third Ave.;New York;NY;10022;212-421-7850;http://www.frx.com;contactus@frx.com;Howard Soloman;howard.solomon@frx.com
Precision Castparts;4650 S.W. Macadam Ave.;Portland;OR;97239;503-417-4800;http://www.precast.com;info@precastcorp.com;Mark Donegan;None
Hasbro;1027 Newport Ave.;Pawtucket;RI;2862;401-431-8697;http://www.hasbro.com;hasbro@custhelp.com;Alfred J. Verrecchia;averrecchia@hasbro.com
Winn-Dixie Stores;5050 Edgewood Court;Jacksonville;FL;32254;904-783-5000;http://www.winn-dixie.com;MichaelIstre@winn-dixie.com;Peter L. Lynch;None
AMR;4333 Amon Carter Blvd.;Fort Worth;TX;76155;817-963-1234;http://www.aa.com;americanairlines@email.aa.com;Gerard J. Arpey;gerard.arpey@aa.com
Murphy Oil;200 Peach St.;El Dorado;AR;71730;870-862-6411;http://www.murphyoilcorp.com;sandiks@murphyoilcorp.com;Claiborne P. Deming;None
Caterpillar;100 N.E. Adams St.;Peoria;IL;61629;309-675-1000;http://www.cat.com;CATir@cat.com;James W. Owens;jim.owens@cat.com
American Axle & Manufacturing;1 Dauch Dr.;Detroit;MI;48211;313-758-2000;http://www.aam.com;AAMHR@aam.com;Richard E. Dauch;None
Peabody Energy;701 Market St.;Saint Louis;MO;63101;314-342-3400;http://www.peabodyenergy.com;pr@peabodyenergy.com;Gregory H. Boyce;gboyce@peabodyenergy.com
AbitibiBowater;55 E. Camperdown Way;Greenville;SC;29602;864-271-7733;http://www.abitibibowater.com;info@abitibibowater.com;David J. Paterson;None
First American Corp.;1 First American Way;Santa Ana Height;CA;92707;714-250-3000;http://www.firstam.com;sales@firstam.com;Parker S. Kennedy;None
Ferrellgas Partners;7500 College Blvd.;Lenexa;KS;66210;913-661-1500;http://www.ferrellgas.com;CustomerConnection@ferrellgas.com.;James E. Ferrell;None
Securian Financial Group;400 Robert St. N.;Saint Paul;MN;55101;651-665-3500;http://www.securian.com;customers@securian.com;Robert L. Senkler;None
Marathon Oil;5555 San Felipe Rd.;Houston;TX;77056;713-629-6600;http://www.marathon.com;custrelations@marathonpetroleum.com;Clarence P. Cazalot Jr.;None
